TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
GOVN_LOGIN_TC_001,Đăng nhập thành công và Bảo mật,High Risk,Đăng nhập thành công với thông tin tài khoản hợp lệ,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập hợp lệ.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: ""NV2"", Mật khẩu: ""12345678@Hn""","Đăng nhập thành công. Hệ thống chuyển hướng người dùng về Trang chủ tại địa chỉ https://gon-demo.pirago.work/. Tiêu đề trang đổi thành ""Trang chủ"". Sidebar bên trái hiển thị Logo GoVN, các liên kết ""Trang chủ"", ""Quản lý công việc"" và nút ""Đăng xuất"". Header phía trên hiển thị tên ""Nv2"", vai trò ""nvdaf"".",High
GOVN_LOGIN_TC_002,Đăng nhập thành công và Bảo mật,High Risk,Đăng nhập không thành công do viết thường tất cả ký tự ở trường Tên đăng nhập,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập viết thường.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: ""nv2"", Mật khẩu: ""12345678@Hn""","Đăng nhập thất bại. Không hiển thị lỗi riêng lẻ dưới từng trường. Hiển thị thông báo lỗi chung phía trên form nhập: ""Tên đăng nhập hoặc mật khẩu không chính xác.""",High
GOVN_LOGIN_TC_003,Đăng nhập thành công và Bảo mật,High Risk,Đăng nhập không thành công do viết hoa tất cả ký tự ở trường Mật khẩu,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập hợp lệ.
2. Nhập Mật khẩu viết hoa sai định dạng.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: ""NV2"", Mật khẩu: ""12345678@HN""","Đăng nhập thất bại. Không hiển thị lỗi riêng lẻ dưới từng trường. Hiển thị thông báo lỗi chung phía trên form nhập: ""Tên đăng nhập hoặc mật khẩu không chính xác.""",High
GOVN_LOGIN_TC_004,Đăng nhập thành công và Bảo mật,High Risk,Đăng nhập thất bại do Tên đăng nhập chứa khoảng trắng ở đầu và cuối,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập có khoảng trắng ở đầu và cuối.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: "" NV2 "", Mật khẩu: ""12345678@Hn""","Đăng nhập thất bại (hệ thống không tự động cắt khoảng trắng). Hiển thị thông báo lỗi chung phía trên form nhập: ""Tên đăng nhập hoặc mật khẩu không chính xác.""",Medium
GOVN_LOGIN_TC_005,Đăng nhập thành công và Bảo mật,High Risk,Kiểm tra ngăn chặn SQL Injection trên trường Tên đăng nhập,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập câu lệnh SQL vào trường Tên đăng nhập.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: ""NV2 OR 1=1"", Mật khẩu: ""12345678@Hn""","Đăng nhập thất bại. Hệ thống không bị lỗi injection. Hiển thị thông báo lỗi chung phía trên form nhập: ""Tên đăng nhập hoặc mật khẩu không chính xác.""",High
GOVN_LOGIN_TC_006,Đăng nhập thành công và Bảo mật,High Risk,Kiểm tra ngăn chặn XSS Injection trên trường Tên đăng nhập,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập thẻ Script vào trường Tên đăng nhập.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Đăng nhập.","Tên đăng nhập: ""<script>alert(1)</script>"", Mật khẩu: ""12345678@Hn""","Đăng nhập thất bại. Hệ thống xử lý chuỗi dưới dạng văn bản thường, không hiển thị hộp thoại popup JavaScript. Hiển thị thông báo lỗi chung: ""Tên đăng nhập hoặc mật khẩu không chính xác.""",High
GOVN_LOGIN_TC_007,Đăng nhập thành công và Bảo mật,High Risk,Kích hoạt đăng nhập bằng phím Enter khi con trỏ đang ở trường Tên đăng nhập,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập hợp lệ.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Enter khi đang focus ở trường Tên đăng nhập.","Tên đăng nhập: ""NV2"", Mật khẩu: ""12345678@Hn""",Hệ thống gửi yêu cầu và đăng nhập thành công. Chuyển hướng về Trang chủ.,Medium
GOVN_LOGIN_TC_008,Đăng nhập thành công và Bảo mật,High Risk,Kích hoạt đăng nhập bằng phím Enter khi con trỏ đang ở trường Mật khẩu,Người dùng đang ở trang đăng nhập https://gon-demo.pirago.work/login,"1. Nhập Tên đăng nhập hợp lệ.
2. Nhập Mật khẩu hợp lệ.
3. Nhấn nút Enter khi đang focus ở trường Mật khẩu.","Tên đăng nhập: ""NV2"", Mật khẩu: ""12345678@Hn""",Hệ thống gửi yêu cầu và đăng nhập thành công. Chuyển hướng về Trang chủ.,Medium
GOVN_LOGIN_TC_009,Đăng nhập thành công và Bảo mật,High Risk,Kiểm tra chặn truy cập trực tiếp vào Trang chủ khi chưa đăng nhập,Người dùng chưa đăng nhập vào hệ thống,1. Truy cập trực tiếp URL của Trang chủ: https://gon-demo.pirago.work/.,URL: https://gon-demo.pirago.work/,Hệ thống chặn truy cập và tự động chuyển hướng người dùng về trang Đăng nhập (https://gon-demo.pirago.work/login).,High
GOVN_LOGIN_TC_010,Đăng nhập thành công và Bảo mật,High Risk,Kiểm tra tính năng Đăng xuất để xóa phiên làm việc,Người dùng đã đăng nhập thành công và đang ở Trang chủ,1. Click nút Đăng xuất ở menu sidebar bên trái.,Click chuột trái vào nút Đăng xuất.,Đăng xuất thành công. Hệ thống xóa session và chuyển hướng người dùng về trang Đăng nhập.,High
